,criterion,max_depth,min_samples_leaf,n_estimators,Accuracy
375,entropy,6,4,100,0.810204081632653
376,entropy,6,4,300,0.806204081632653
377,entropy,6,4,500,0.802204081632653
378,entropy,6,4,800,0.806204081632653
379,entropy,6,4,1000,0.806204081632653
380,entropy,6,5,100,0.810204081632653
381,entropy,6,5,300,0.806204081632653
382,entropy,6,5,500,0.806204081632653
383,entropy,6,5,800,0.810204081632653
384,entropy,6,5,1000,0.806204081632653
385,entropy,6,6,100,0.8142857142857143
386,entropy,6,6,300,0.8062857142857143
387,entropy,6,6,500,0.8102857142857143
388,entropy,6,6,800,0.8102857142857143
389,entropy,6,6,1000,0.8102857142857143
390,entropy,7,1,100,0.7983673469387755
391,entropy,7,1,300,0.8022857142857143
392,entropy,7,1,500,0.7982040816326531
393,entropy,7,1,800,0.7982040816326531
394,entropy,7,1,1000,0.7982040816326531
395,entropy,7,2,100,0.8143673469387755
396,entropy,7,2,300,0.806204081632653
397,entropy,7,2,500,0.7982040816326531
398,entropy,7,2,800,0.798204081632653
399,entropy,7,2,1000,0.802204081632653
400,entropy,7,3,100,0.806204081632653
401,entropy,7,3,300,0.806204081632653
402,entropy,7,3,500,0.802204081632653
403,entropy,7,3,800,0.802204081632653
404,entropy,7,3,1000,0.802204081632653
405,entropy,7,4,100,0.802122448979592
406,entropy,7,4,300,0.806204081632653
407,entropy,7,4,500,0.802204081632653
408,entropy,7,4,800,0.802204081632653
409,entropy,7,4,1000,0.8062857142857143
410,entropy,7,5,100,0.810204081632653
411,entropy,7,5,300,0.802204081632653
412,entropy,7,5,500,0.806204081632653
413,entropy,7,5,800,0.806204081632653
414,entropy,7,5,1000,0.8102857142857143
415,entropy,7,6,100,0.8182857142857143
416,entropy,7,6,300,0.8102857142857143
417,entropy,7,6,500,0.8102857142857143
418,entropy,7,6,800,0.8102857142857143
419,entropy,7,6,1000,0.8102857142857143
